date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:46	1048177/1048177	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:03:31%20GMT	https://voixoff.ma/categories/uk-english/female?page=12	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/uk-english/femalece37.html	(from https://voixoff.ma/categories/uk-english/female?page=9)
18:05:46	1040750/1040750	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:03:33%20GMT	https://voixoff.ma/categories/uk-english/female?page=13	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/uk-english/female8c93.html	(from https://voixoff.ma/categories/uk-english/female?page=10)
18:05:51	1040475/1040475	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:03:35%20GMT	https://voixoff.ma/categories/uk-english/female?page=14	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/uk-english/femalea7f1.html	(from https://voixoff.ma/categories/uk-english/female?page=10)
18:05:55	1051729/1051729	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:03:38%20GMT	https://voixoff.ma/categories/portuguese-brazil/female?page=1	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/portuguese-brazil/female2679.html	(from https://voixoff.ma/categories/portuguese-brazil/female?page=2)
18:06:01	1043039/1043039	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:03:46%20GMT	https://voixoff.ma/categories/portuguese-brazil/female?page=11	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/portuguese-brazil/female1c8b.html	(from https://voixoff.ma/categories/portuguese-brazil/female?page=8)
18:06:03	1049038/1049038	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:03:48%20GMT	https://voixoff.ma/categories/portuguese-brazil/female?page=12	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/portuguese-brazil/femalece37.html	(from https://voixoff.ma/categories/portuguese-brazil/female?page=9)
18:06:03	1041611/1041611	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:03:49%20GMT	https://voixoff.ma/categories/portuguese-brazil/female?page=13	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/portuguese-brazil/female8c93.html	(from https://voixoff.ma/categories/portuguese-brazil/female?page=10)
18:06:07	1041336/1041336	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:03:50%20GMT	https://voixoff.ma/categories/portuguese-brazil/female?page=14	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/portuguese-brazil/femalea7f1.html	(from https://voixoff.ma/categories/portuguese-brazil/female?page=10)
18:06:18	1025184/1025184	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:04%20GMT	https://voixoff.ma/search?q=italian-voice&page=1	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/search958b.html	(from https://voixoff.ma/search?q=italian-voice&page=2)
18:06:22	1050777/1050777	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:05%20GMT	https://voixoff.ma/categories/EnglishUS/female?page=1	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/EnglishUS/female2679.html	(from https://voixoff.ma/categories/EnglishUS/female?page=2)
18:06:27	1042055/1042055	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:12%20GMT	https://voixoff.ma/categories/EnglishUS/female?page=11	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/EnglishUS/female1c8b.html	(from https://voixoff.ma/categories/EnglishUS/female?page=8)
18:06:29	1048054/1048054	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:14%20GMT	https://voixoff.ma/categories/EnglishUS/female?page=12	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/EnglishUS/femalece37.html	(from https://voixoff.ma/categories/EnglishUS/female?page=9)
18:06:29	1040627/1040627	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:15%20GMT	https://voixoff.ma/categories/EnglishUS/female?page=13	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/EnglishUS/female8c93.html	(from https://voixoff.ma/categories/EnglishUS/female?page=10)
18:06:32	1040352/1040352	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:16%20GMT	https://voixoff.ma/categories/EnglishUS/female?page=14	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/EnglishUS/femalea7f1.html	(from https://voixoff.ma/categories/EnglishUS/female?page=10)
18:06:37	1051372/1051372	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:20%20GMT	https://voixoff.ma/categories/arabic-lebanon/female?page=1	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/arabic-lebanon/female2679.html	(from https://voixoff.ma/categories/arabic-lebanon/female?page=2)
18:06:42	1042670/1042670	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:27%20GMT	https://voixoff.ma/categories/arabic-lebanon/female?page=11	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/arabic-lebanon/female1c8b.html	(from https://voixoff.ma/categories/arabic-lebanon/female?page=8)
18:06:44	1048669/1048669	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:29%20GMT	https://voixoff.ma/categories/arabic-lebanon/female?page=12	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/arabic-lebanon/femalece37.html	(from https://voixoff.ma/categories/arabic-lebanon/female?page=9)
18:06:44	1041242/1041242	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:30%20GMT	https://voixoff.ma/categories/arabic-lebanon/female?page=13	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/arabic-lebanon/female8c93.html	(from https://voixoff.ma/categories/arabic-lebanon/female?page=10)
18:06:47	1040967/1040967	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:31%20GMT	https://voixoff.ma/categories/arabic-lebanon/female?page=14	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/arabic-lebanon/femalea7f1.html	(from https://voixoff.ma/categories/arabic-lebanon/female?page=10)
18:06:47	1047267/1047267	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:34%20GMT	https://voixoff.ma/categories/africanfrench/female?page=2	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/africanfrench/female4658.html	(from https://voixoff.ma/categories/africanfrench/female)
18:06:47	1041557/1041557	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:34%20GMT	https://voixoff.ma/categories/africanfrench/female?page=3	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/africanfrench/female9ba9.html	(from https://voixoff.ma/categories/africanfrench/female)
18:06:48	1042952/1042952	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:34%20GMT	https://voixoff.ma/categories/africanfrench/female?page=4	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/africanfrench/femalefdb0.html	(from https://voixoff.ma/categories/africanfrench/female)
18:06:48	1040145/1040145	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:34%20GMT	https://voixoff.ma/categories/africanfrench/female?page=5	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/africanfrench/femaleaf4d.html	(from https://voixoff.ma/categories/africanfrench/female)
18:06:48	1040323/1040323	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:35%20GMT	https://voixoff.ma/categories/africanfrench/female?page=6	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/africanfrench/femalec575.html	(from https://voixoff.ma/categories/africanfrench/female)
18:06:49	1040197/1040197	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2017:04:35%20GMT	https://voixoff.ma/categories/africanfrench/female?page=7	C:/Users/DELL/Desktop/controle/Voixoff.ma%20_%20Agence%20Voix%20off%20#1%20au%20Maroc_files/voixoN/voixoff.ma/categories/africanfrench/female235c.html	(from https://voixoff.ma/categories/africanfrench/female)
